Name,group,L-Proline,L-Leucine,Uric acid,cis-Aconitic acid,"D-Glucurono-6,3-lactone",Isocitric acid,Gluconic acid,Glycerylphosphorylethanolamine,Pantothenic acid,Cytidine,"7,8-Dihydroneopterin",5-Aminoimidazole ribonucleotide,Phytosphingosine,Biocytin,IDP,"PC(14:0/20:3(5Z,8Z,11Z))"
AV_315,2,0.652877882,0.693824878,28.22552376,0.340661643,7.581765933,12.78629881,3.614864271,1.086964051,3.841216485,0.249861602,0.897609997,1.47948859,0.630654858,0.310975728,0.413682846,0.48296642
AV_318,2,1.331898786,0.687728706,20.39087522,0.192563526,19.25751415,12.85152846,4.250935929,1.005028113,1.494155886,0.604666629,0.862663775,3.218578897,0.529746682,0.693390949,1.359783084,4.548504594
AV_321,2,0.507400452,0.648449445,42.16745191,0.675310061,1.098341627,13.07932337,3.673113597,0.531251381,0.881933104,0.819276851,0.87198052,2.483394901,0.760136856,0.77566016,0.063380097,4.751204331
AV_324,2,0.589509499,0.662012434,18.78779837,0.262124853,5.558542867,18.30604258,8.625416063,0.496910057,2.495869173,0.395216264,0.889656142,1.279835722,0.585503858,0.385966162,0.625303317,0.625605828
AV_327,2,0.625629195,0.750352618,30.6002033,0.294139608,18.13923493,20.8652363,3.774278948,0.517848321,1.029781352,0.195674477,0.879374815,1.05748065,0.551814264,0.341425315,0.308970604,1.258901012
AV_330,2,0.607730412,0.75276668,17.7749676,0.186886676,14.24292429,12.97363337,6.182047401,1.246864275,2.678296584,0.459071741,0.947978203,1.936304262,0.735840953,0.318189208,0.709466414,1.645188802
AV_334,2,0.523773496,0.68096054,8.517684795,0.467495913,0.879295362,22.26727132,5.17042069,0.544952693,2.218721416,0.36734799,0.806075297,1.83841472,0.644319474,0.193306514,0.130536887,8.661242484
AV_336,2,0.624406581,0.86658205,17.48352535,0.434164929,1.507013,21.65191007,7.030574319,0.653066642,1.641863307,0.584904462,0.882917502,2.427046399,0.983870571,0.597967764,0.182380927,5.330003843
AV_339,2,0.584218454,0.663837595,29.4378758,0.386637066,1.530991201,17.57316952,5.79036087,0.557397278,1.083049602,0.302022882,0.883776439,1.494459962,0.63176634,0.260886456,0.306867953,0.438290654
AV_341,2,0.535515981,0.770121054,30.74977271,0.30814995,3.120422865,12.23921293,4.126305336,0.6598359,1.228142608,0.194793324,0.848130406,1.364680318,0.660995015,0.259895405,0.349034953,0.694091252
